Antigua and Barbuda,2
Argentina,2
Australia,13
Austria,5
Azerbaijan,1
Belgium,1
Brazil,3
Canada,16
Chile,2
Costa Rica,1
Czech Republic,6
Denmark,1
Estonia,1
Finland,4
France,3
Germany,31
Greece,4
Guatemala,1
Hong Kong,1
Hungary,1
India,2
Ireland,2
Israel,7
Italy,3
Jamaica,1
"Korea, South",1
Lithuania,7
Malaysia,2
Mauritius,1
Mexico,2
Morocco,4
Netherlands,7
New Zealand,2
Norway,9
Peru,1
Portugal,1
Romania,1
Serbia,1
Singapore,3
Slovakia,1
South Africa,1
Spain,4
Sweden,8
Switzerland,3
Thailand,2
Tunisia,3
United Kingdom,11
United States (USA),134
Uruguay,3
