id,name,rating,posts,likes,comments,r_shares,r_comments,r_likes,r_commentLikes
1169286646434572,Brandon Schwerin,10573,77,104,112,15,505,3850,369
1574227302906540,Nir Tavor,3914,0,1736,124,0,0,0,70
159556264438726,Amine Saydani,1995,20,172,43,10,46,606,32
973326036088536,Henri Teittinen,6515,22,1725,212,5,187,763,212
1141573675895250,Connor Dykstra,2502,16,217,178,0,69,509,229
925528057564347,Lachlan Lincoln,13125,64,3133,487,9,626,1250,664
1109795769043861,Shawn Joseph Cope,3753,28,214,69,0,116,1277,76
874898659302514,Eric Mendes,5507,10,1447,354,0,153,177,688
10203857159749759,Henri Heikkinen,12900,26,4125,701,1,146,394,1187
812418785550197,Ernesto Garcia,14059,88,1364,1071,8,716,2164,1170
10204179651090190,Tyler Hubbell,3393,54,116,150,1,228,774,205
910740435668609,Mark Pryor,25281,255,2720,790,313,1298,5146,758
1703940683227906,Ian Cutlip,3342,8,227,478,1,104,154,790
751701448264318,Zack Szala,36448,292,4347,3737,22,2889,2188,1952
10153282292366650,Dillon Vance,660,3,76,57,0,32,85,56
1148510308509748,Alex Gili,15341,68,2550,689,14,388,2857,900
564918630336522,James North,51859,118,2491,2526,218,2280,12560,5877
10208951439333638,Devon King,8381,36,1375,412,1,328,1321,585
10208238703389554,Yuri Levin,12913,47,1727,572,7,516,2511,910
10207895212932459,Κώστας Σκουρκέας,2984,7,343,466,0,42,187,365
10209374466062050,Kyle Hudson,3724,25,119,89,1,204,1166,146
916322401810613,Dan Pitlock,12231,27,171,784,35,715,1959,3199
1090562220967028,Ashley Adams,15256,50,384,440,17,1327,3881,1107
212257082479698,Adam Insogna,950,7,206,55,0,5,142,39
550273415152217,Cédric Cloutier-Boucher,2873,7,581,289,0,106,45,401
10153479955195465,Alex Watts,2506,12,466,175,0,50,314,211
10207975635886333,Kristian KC Schoenhaar,18616,116,638,1542,9,1550,2510,2428
1049915028415774,Timo Sawitzki,2314,19,109,152,2,132,471,199
1608004149524466,Riksa Rikkonen,1767,11,45,84,11,61,464,215
10207289317385342,Beth Newhardt,91255,381,2036,6887,75,7274,14363,13769
1572617209718009,Ed Khardewsaw,2235,12,1,54,148,113,528,24
10209093488234612,Jacklord Zamora Saldua,1161,9,156,34,0,82,196,64
10204493573419516,Melissa Basch,1586,13,140,58,1,52,417,73
877048702417174,Amir Melendez,1452,4,546,57,0,25,27,40
1102060586526420,Aiden Scott,9353,10,3574,265,0,246,131,360
